node_id	gene_symbol
1560	DYNLRB1
1561	DYNLT3
1562	DYRK2
1563	DZIP1
1564	DZIP1L
1565	E2F1
1566	E2F2
1567	E2F3
1568	E2F8
1569	E4F1
1570	EAF1
1571	EAF2
1572	EAPP
1573	EBAG9
1574	EBNA1BP2
1575	ECD
1576	ECE2
1577	ECH1
1578	ECHDC1
1579	ECHS1
1580	ECSIT
1581	ECT2
1582	EDA2R
1583	EDAR
1584	EDC4
1585	EDEM1
1586	EDF1
1587	EDN1
1588	EDRF1
1589	EEF1A1
1590	EEF1D
1591	EEF1E1
1592	EEPD1
1593	EFCAB12
1594	EFEMP1
1595	EFL1
1596	EFNA1
1597	EFNB2
1598	EFTUD2
1599	EGF
1600	EGFR
1601	EGLN3
1602	EGR1
1603	EGR2
1604	EGR3
1605	EHBP1
1606	EHBP1L1
1607	EHD1
1608	EHD2
1609	EHD4
1610	EHF
1611	EHMT1
1612	EHMT2
1613	EI24
1614	EIF2A
1615	EIF2AK2
1616	EIF2B1
1617	EIF2S1
1618	EIF2S2
1619	EIF2S3
1620	EIF3A
1621	EIF3B
1622	EIF3C
1623	EIF3E
1624	EIF3F
1625	EIF3G
1626	EIF3H
1627	EIF3J
1628	EIF3K
1629	EIF4A1
1630	EIF4A2
1631	EIF4A3
1632	EIF4E
1633	EIF4E2
1634	EIF4EBP1
1635	EIF4G1
1636	EIF4G2
1637	EIF4H
1638	EIF5
1639	EIF5A
1640	EIF5A2
1641	EIF5AL1
1642	EIF5B
1643	ELAVL1
1644	ELF1
1645	ELF2
1646	ELF3
1647	ELFN2
1648	ELL
1649	ELMO1
1650	ELMO2
1651	ELMO3
1652	ELMOD1
1653	ELOA
1654	ELOC
1655	ELOF1
1656	ELOVL1
1657	ELOVL3
1658	ELOVL7
1659	ELP1
1660	ELP3
1661	ELP4
1662	ELP5
1663	EMC2
1664	EMC3
1665	EMC6
1666	EMC7
1667	EMC8
1668	EMD
1669	EME1
1670	EMG1
1671	EMID1
1672	EML1
1673	EML3
1674	EML4
1675	EMP1
1676	EMP3
1677	EMX1
